competent	adj. 能胜任的，有能力的
contaminate	v. 污染，弄脏
skyrocket	v. 猛增
assassinate	v. 刺杀，暗杀
conquer	v. 征服
spectacle	n. 景象
malicious	adj. 恶毒的
prevailing	adj. 流行的
ascend	v. 上升
outsource	v. 外包
predominantly	adv. 占主导地位地
slash	v. 猛削，劈，砍；削减
cognitive	adj. 认知的
materialize	v. 实现
counselor	n. 咨询顾问
assimilate	v. 同化
cropland	n. 农田
compel	v. 强迫
undertaking	n. 任务，事情
utterly	adv. 完全地，彻底地
inferior	adj. 比……差
accrue	v. 积累
imperial	adj. 帝国的
assert	v. 主张，断言
breezy	adj. 轻松愉快的
presidency	n. 总统任期
quota	n. 配额
dropout	n. 辍学学生
integrity	n. 正直
elevate	v. 提升；举起
publicize	v. 宣传
vigorous	adj. 积极的；精力充沛的
counsel	v. 建议，忠告
hostility	n. 敌意
transition	n. 过渡
deteriorate	v. 恶化
pasture	n. 牧场
dividend	n. 分红，红利
derail	v. 脱轨
ingenuity	n. 创造力
bribe	v. 贿赂
guesstimate	n. 大概估计，瞎猜估计
compromise	v. 妥协
excess	n. 过量，过度
descendant	n. 子孙后代
fulfill	v. 实现
collective	adj. 共同的
amend	v. 修订
tangled	adj. 纠缠的；复杂的
circulation	n. 发行量
inadequate	adj. 不足的
authorization	n. 授权
auxiliary	adj. 辅助的
adverse	adj. 不利的
descriptive	adj. 描写的，描述的
humanistic	adj. 人文的
cozy	adj. 舒适的
plough	n. 犁
lest	conj. 以免
formidable	adj. 可怕的；令人敬畏的，令人惊叹的
feasible	adj. 可行的
overturn	v. 推翻
adversely	adv. 不利地
testimony	n. 证词
rigorous	adj. 严格的
eloquent	adj. 口才好的，雄辩的
moist	adj. 潮湿的
surpass	v. 超过
eradicate	v. 根除
bruise	v. 使碰伤，擦伤
prominent	adj. 卓越的；突出的
champion	v. 支持，拥护
rally	n. 集会
deviate	v. 偏离
scandal	n. 丑闻
confine	v. 限制
conspicuous	adj. 显著的
indulge	v. 放纵
complement	n. 补充
squalor	n. 肮脏
responsive	adj. 灵敏的，反应的
correlation	n. 相关，关联
casualty	n. 伤亡人数
intimate	adj. 亲密的
disengagement	n. 分离
prestige	n. 名声，声望
entrepreneur	n. 企业家
intriguing	adj. 有趣的
segregation	n. 隔离
hurl	v. 猛投
disservice	n. 危害
clause	n. 条款
dispatch	v. 发送，派遣
shrug	v. 耸肩
redundant	adj. 失业的，被解雇的；过剩的
deficit	n. 赤字
simultaneous	adj. 同步的
arise	v. 出现
distort	v. 歪曲；扭曲
wishful	adj. 一厢情愿的
entrepreneurship	n. 企业管理
assault	n. 攻击
footnote	n. 注脚
controversial	adj. 受到争议的
inherit	v. 继承
manifest	v. 表明
fiscal	adj. 财政的
gown	n. 长袍
rate	n. 费用
mortality	n. 死亡率
paradox	n. 悖论
simultaneously	adv. 同步地，同时地
literacy	n. 识字， 有文化
apathy	n. 冷漠
cripple	n. 残疾，跛子
shuttle	n. 航天飞机
startle	v. 使惊讶
debris	n. 残骸，碎片
perception	n. 看法；意识
embody	v. 体现
exploit	v. 开发，开采
strip	n. 狭长的一块
aspirational	adj. 渴望成功的的
threshold	n. 门槛
soar	v. 高飞
needy	adj. 贫穷的
convict	v. 证明……有罪
confidential	adj. 机密的
jeopardize	v. 危害，危及
disproportionately	adv. 比例不均地，不成比例地
bump	v. 颠簸
shrewd	adj. 精明的
illuminate	v. 阐释，阐明
ponder	v. 仔细考虑
confess	v. 承认
extent	n. 程度
sheer	adj. 纯粹的
deliberate	adj. 故意的
consensus	n. 共识，一致
adversity	n. 逆境
hospitality	n. 友好
carpentry	n. 木工活
accustom	v. 使习惯
irritate	v. 激怒
intrinsic	adj. 本质的，固有的
deem	v. 认为
ideology	n. 意识形态
layman	n. 门外汉
instantaneous	adj. 即时的，瞬间的
magnify	v. 放大
inheritance	n. 继承；遗产
deterioration	n. 恶化，退化
incidentally	adv. 顺便地，附带
uninformed	adj. 无知的，未受过教育的
overlap	v. 重叠
accountable	adj. 应负责的，有责任的
diligence	n. 勤奋
fertility	n. 多产，肥沃
reception	n. 接待
tremendous	adj. 巨大的
exertion	n. 运用
reproduction	n. 繁殖
strap	v. 用带绑住
aptly	adv. 适当地
degeneration	n. 退化，变质
refrain	v. 抑制，避免
agonize	v. 使痛苦
cater	v. 迎合
unbiased	adj. 公正的
primitive	adj. 原始的；简单的
throne	n. 王位
underfunded	adj. 资金不足的
abolition	n. 废除
corruption	n. 腐败
compensate	v. 弥补
rebellion	n. 叛逆
imperative	adj. 必须的,必要的
sway	v. 影响
expenditure	n. 费用，花销
noted	adj. 著名的
reckless	adj. 鲁莽的
reinforce	v. 增强，强化
virtually	adv. 几乎
curb	v. 限制，控制
validity	n. 有效性；真实性
fertilizer	n. 肥料
shady	adj. 阴凉的
countermeasure	n. 对策
legislator	n. 立法者
intervention	n. 干涉
bemoan	v. 抱怨；惋惜
incur	v. 引起，导致
feasibility	n. 可行
disarm	v. 解除，消除
validation	n. 证实
hinder	v. 阻碍
postdoctoral	adj. 博士后的
bipartisan	adj. 两党的
reluctance	n. 勉强，不情愿
intuitive	adj. 直觉的
pragmatic	adj. 务实的，讲求实际的
alleviate	v. 减轻，缓解
underlying	adj. 潜在的，基础的
dysfunction	n. 失常
capital	adj. 资金的，资本的
eligible	adj. 适合的；胜任的
aggravate	v. 加重，加剧
irreversible	adj. 不可逆的；不可取消的
grave	adj. 严重的
undocumented	adj. 无证明的
appoint	v. 任命
rhetorical	adj. 修辞的
momentum	n. 动力，势头
drastically	adv. 激烈地，猛烈地
miniature	adj. 微型的
merit	v. 值得 n. 优点
liability	n. 责任；债务
brutal	adj. 残酷的
subsequently	adv. 随后
subconscious	adj. 下意识的，潜意识的
recurrence	n. 再次发生
memo	n. 备忘录
enrollment	n. 入学人数
frantic	adj. 疯狂的
allegedly	adv. 据说
manipulate	v. 操纵
novel	adj. 新颖的
neutrality	n. 中立
underscore	v. 强调
indispensable	adj. 必不可少的
sanitation	n. 卫生环境，卫生设备
forthcoming	adj. 即将来临的
deduction	n. 扣款
monetary	adj. 货币的
dim	adj. 暗淡的；愚蠢的
sensible	adj. 理智的
precedent	n. 先例
ruling	n. 裁定
prolong	v. 延长
groundless	adj. 无理由的，无根据的
undertake	v. 承担；着手，开始
commodity	n. 商品
surgical	adj. 手术的
peculiar	adj. 奇怪的；特有的
sophisticated	adj. 复杂的，精密的；老于世故的
detached	adj. 冷静的，超然的
curriculum	n. 课程
margin	n. 利润
stimulus	n. 刺激
competence	n. 能力
sneak	v. 溜走
turbulence	n. 气流；骚乱
resultant	adj. 作为结果而发生的
grunt	v. 作呼噜声；咕哝
abide	v. 忍受；遵守
outermost	adj. 最外面的，最远的
optimum	adj. 最优的，最适宜的
integral	adj. 作为组成部分的；内置的
ample	adj. 足够的；宽敞的
lease	n. 租约，契约，租契
charter	v. 包租（飞机、船等）
conceit	n. 自负，自高自大
descendant	n. 子孙，后裔
endow	v. 资助；赋予
bourgeois	adj. 中产阶级的；庸俗的；资产阶级的
woodpecker	n. 啄木鸟
bump	v. 撞上
ornament	n. 装饰物
ornamental	adj. 装饰的
mount	v. 装配
diversion	n. 转移；改道；娱乐
box	n. （法庭的）专席
clutch	v. 抓住，掌握，攫
watchful	adj. 注意的，警惕的
metropolitan	adj. 主要都市的 n. （东正教和天主教的）大主教
principally	adv. 主要，大抵
stalk	n. 主茎，叶柄
preside	v. 主持；主奏
ambient	adj. 周围的，包围着的
peripheral	adj. 外围的的；末梢的
perimeter	n. 周（边）；周长
hearty	adj. 热情友好的；丰盛的
neutron	n. 中子
intermediate	n. 中间体；调解人
proton	n. 质子，氕核
qualitative	adj. 质的；定性的
fabricate	v. 捏造；制作
fabrication	n. 捏造；制作
rebuke	v. 指责，非难，斥责
indicative	adj. 指示的；陈述的
denote	v. 指示，意味着
designate	v. 指定；指示；指明
colonial	adj. 殖民地的，殖民的
merit	v. 值得；应受赏（罚）
brace	n. 支柱 v. 拉紧，撑牢
second	v. 支持
platform	n. 政纲，党纲，宣言
audience	n. 正式会见；拜会
conqueror	n. 征服者，胜利者
controversy	n. 争论，辩论，争吵
sincerity	n. 真诚，诚意；真实
underline	v. 着重；强调 n. 预告
illuminate	v. 照明，照亮；阐明
marsh	n. 沼泽地，湿地
hindrance	n. 障碍，妨碍
hose	n. 软管；袜类（包括连裤袜、长筒袜、短袜）
tensile	adj. 张力的；能伸长的
predominant	adj. 占优势的；主要的
cling	v. 粘住；依附；坚持
viscous	adj. 粘滞的，粘性的
coherent	adj. （文章、观点等）连贯的，有条理的，一致的
cement	v. 粘结
adhere	v. 粘附；追随；坚持
strip	n. 窄条，长带
grasshopper	n. 蚱蜢，蝗虫，蚂蚱
liability	n. 责任；债务
shipbuilding	n. 造船（业），造船学
hymn	n. 赞美诗，圣歌；赞歌
fore	adv. 在（或向）船头；在（或向）飞行器头部
therein	adv. 在那里
ashore	adv. 在岸上，上岸
roam	v. 在…漫步，漫游
freight	n. 货运；运费
locomotive	adj. 运动的；机动
undertake	v. 从事；承诺
primitive	adj. 远古的，未开化的
dome	n. 圆屋顶，拱顶
cylinder	n. 圆筒；柱（面）；汽缸
satisfactorily	adv. 圆满地
nucleus	n. 原子核，细胞核
vowel	n. 元音；元音字母
marshal	n. 元帅；陆军元帅
prophet	n. 预言家，先知
prophecy	n. 预言；预言能力
beforehand	adv. 预先；提前地
tulip	n. 郁金香
overlap	v. 与…交搭，重叠
senseless	adj. 愚蠢的，无意义的
torpedo	n. 鱼雷，水雷
margin	n. 余地；（获胜者在时间或票数上领先的）幅度，差额；利润；赚头
roundabout	adj. 转弯抹角的；迂回的
avail	v. 有益于，有用 n. 效用
validity	n. （法律上的）有效；符合逻辑，正确
availability	n. 有效（性）；可得性
finite	adj. 有限的；有尽的
courteous	adj. 有礼貌的，谦恭的
bead	n. 有孔小珠；水珠；露珠
liable	adj. 有（法律）责任的
yacht	n. 游艇，快艇
uranium	n. 铀
elbow	v. 用肘挤，挤进
cutter	n. 用于切割的器械
tug	v. 用力拖 n. 猛拉，拖
emigrate	v. 永久移居国外
perpetual	adj. 永久的；四季开花的
everlasting	adj. 永久的；持久的
stiffness	n. 硬度
comply	v. 应允，遵照，照做
salute	v. （向…）行军礼，（向…）致敬
harbour	v. 怀着（不好的想法、恐惧或希望）；包含，藏有；窝藏
derivation	n. 引出；起源；衍生
obscure	adj. 无名的；鲜为人知的
inasmuch	adv. 因为，由于
cross	adj. 恼怒的
singular	adj. 异常的，奇异的
veil	v. 以面纱遮掩；遮盖
forsake	v. 遗弃，抛弃；摒绝，摒弃
colonist	n. 移民；殖民地居民
garment	n. 衣服；服装，衣着
Islam	n. 伊斯兰教，回教
stitch	n. 一针，缝线 v. 缝
concert	n. 一齐，一致，协作
cluster	n. 串，束，簇；群，组 v. 群聚；聚集
generalization	n. 一般化；概括，综合
burglar	n. 夜盗，窃贼
metallurgy	n. 冶金学，冶金术
fort	n. 要塞，堡垒
postulate	v. 假定，假设
prescription	n. 药方，处方；处方药
cradle	n. 摇篮；发源地
waver	v. 犹豫不决；摇摆
wag	v. （狗） 摇摆 （尾巴）；摇晃 （手指）
foster	v. 培养；抚育，代养
anode	n. 阳极，正极，板极
proverb	n. 谚语，格言，箴言
banquet	n. 宴会，盛会，酒席
cloak	v. 掩盖，掩饰；覆盖，笼罩
prolong	v. 延长，拉长，拖延
retard	v. 阻碍；减缓；放慢
opium	n. 鸦片；麻醉剂
squash	v. 压碎 n. 果汁饮料
patrol	n. 巡逻，巡查
radiant	adj. 容光焕发的；灿烂的
overhang	v. 悬于…之上，悬垂
console	n. 悬臂，肘托；控制台
propaganda	n. 宣传
warrant	n. （法院授权警方采取行动的）令状；许可证
requisite	adj. 需要的，必要的 n. 必需品
embroidery	n. 绣花，刺绣；绣制品
nun	n. 修女，尼姑
eloquence	n. 雄辩；口才，修辞
directory	n. 姓名地址录
flush	n. 脸红；一阵强烈情感；（流露出的）一阵激情
constituent	adj. 构成的 n. 选民
scarlet	n. 猩红色 adj. 猩红的
novelty	n. 新颖；新奇的事物
regenerative	adj. 回授的；再生的
novel	adj. 新的，异常的
subscript	adj. 写在下方的 n. 下标
sideways	adv. 斜向一边地
gradient	n. 斜坡
coefficient	n. 协同因素；系数，率
wedge	n. 楔 v. 楔入；挤入
calibration	n. 校准；标定，刻度
decimal	adj. 小数的，十进制的
pamphlet	n. 小册子
slack	adj. 萧条的；懈怠的
recreation	n. 消遣，娱乐活动
ivory	n. 象牙（质）；乳白色
southwards	adv. 向南方
hail	v. 向…欢呼，招呼
yearn	v. 渴望，向往
pilgrim	n. 香客，朝圣者
incense	n. 香，熏香；香气
uniformly	adv. 相同地；一贯
resemblance	n. 相似，相似性
analogy	n. 相似，类似；比拟
correlation	n. 相互关系
reciprocal	adj. 相互的；互利的
inversely	adv. 相反地
qualify	v. 限制，限定，修饰
gossip	n. 闲谈；碎嘴子；漫笔
precede	v. 先于…，领先
shower	v. 下阵雨，使湿透
subordinate	adj. 下级的，辅助的
inferior	n. 下级；晚辈；次品
taper	n. 细小的蜡烛；微光
filament	n. 细丝；长丝；灯丝
assault	v. 袭击 n. 攻击
quench	v. 熄灭，扑灭；压制
absorption	n. 吸收；专注
substantial	adj. 大而坚固的
luncheon	n. 午宴，午餐，便宴
indefinite	adj. 无限期的
innumerable	adj. 无数的，数不清的
ruthless	adj. 无情的，冷酷的
nought	n. 无，零
filth	n. 污秽，污物；淫猥；淫猥
hum	n. 嗡嗡声 v. 哼曲子
compliment	n. 致意，问候 v. 赞美，祝贺
illiterate	adj. 文盲的 n. 文盲
stationery	n. 信笺，信纸；文具
plague	n. 瘟疫；鼠疫（尤指腺鼠疫）
graze	v. 喂草；放牧（牲畜）
locality	n. 位置，地点，发生地
situated	adj. 位于…的
stern	n. 艉，船尾；臀部
Venus	n. 维纳斯；美人
mast	n. 桅杆
enclosure	n. 围场，围栏；围绕
violation	n. 违犯；侵犯，妨碍
plead	v. 为…辩护，抗辩
calculus	n. 微积分；结石
gleam	n. 微光 v. 发微光
negligible	adj. 微不足道的
majesty	n. 雄伟，威严，庄严；陛下
prestige	n. 威望，威信，声望
peril	n. 危机；危险的事物
fro	adv. 往，去，回，向后
mesh	n. 网眼，筛孔，网络
trifle	v. 玩忽；闲混；嬉耍
completion	n. 完成，结束，完满
crooked	adj. 弯的，歪的；畸形的
hull	n. 外壳，豆荚；薄膜
distort	v. 歪曲，曲解；扭曲
tile	n. 瓷砖；贴砖；瓦片
elliptical	adj. 椭圆的；省略的
haul	v. 拖曳；拖运
devour	v. 吞食；吞灭，毁灭
propulsion	n. 推进，推进力
propel	v. 推进，推动
impulse	n. 冲动；推动
presumably	adv. 推测起来，大概
shove	v. 推，（使劲）推
regiment	n. 团，军团；一大群
lever	n. 途径，工具，手段
overtake	v. 突然发生；压倒
nose	n. 突出部分（如船头等）
misery	n. 痛苦，悲惨，不幸
torment	n. 痛苦 v. 折磨
thrash	v. 痛打，鞭打，打
simultaneous	adj. 同时的，同时存在的
accessory	n. 同谋，帮凶 adj. 附属的
whilst	conj. 同时；然而
correspondence	n. 通信；相关；相似
resignation	n. 听从，屈从，顺从
blacksmith	n. 铁匠，锻工
ferrous	adj. 铁的；亚铁的
adjoin	v. 贴近，毗连；靠近
hop	v. （人）单足跳
modulate	v. 调整，调节（声音）
mischief	n. 调皮，捣蛋，胡闹
accord	n. 符合；协议
questionnaire	n. 调查表，征求意见表
Catholic	adj. 天主教的 n. 天主教徒
embody	v. 体现；包含，收录
nourish	v. 提供养分，养育
peculiarity	n. 特性，独特性；怪癖
earthenware	n. 陶器
outlaw	n. 逃犯，歹徒
wade	v. 趟（河），跋涉
probe	n. 探针 v. 用探针探查
charcoal	n. 炭，木炭；生物炭
moss	n. 苔藓，地衣
pedal	n. （自行车的）踏脚，踏板，脚蹬；（汽车或机器的）踏板
thereof	adv. 它的，其；由此
trivial	adj. 琐碎的；平常的
what	adj. 所…的
miniature	n. 缩影 adj. 缩小的
deform	v. 损坏…的形状
deformation	n. 损坏；变形；畸形
fringe	n. 穗，毛边；边缘
scrap	n. 碎片；废料 v. 废弃
shorthand	n. 速记，速记法
scout	v. 搜索，侦察
rear	v. 饲养，培植；抚养
perish	v. 死亡，夭折；枯萎
hiss	n. 嘶嘶声 v. 嘶嘶作声
speculate	v. 猜测，推测；投机
confidence	n. 私房话，秘密，机密
velvet	adj. 丝绒制的；柔软光滑的
treasurer	n. 司库，财务主管
exposition	n. 说明，解释；展览会，博览会
preach	v. 说教，布道；鼓吹
slumber	n. 睡眠；沉睡状态
buffalo	n. 水牛；水陆坦克
hydraulic	adj. 水力的；水力学的
rinse	v. 冲洗；嗽（口）
reckon	v. 计算；认为
harp	n. 竖琴；天琴座
terminology	n. 术语学，术语
proficient	adj. 熟练的，精通的
proficiency	n. 熟练，精通
grant	n. 拨款
dependant	n. 受赡养者
miser	n. 守财奴，吝啬鬼
trolley	n. 手推车；有轨电车
manuscript	n. 手稿，底稿，原稿
oath	n. 誓言，誓约，宣誓
vow	n. 誓言，誓约，许愿
pledge	n. 誓言 v. 使发誓
wholesome	adj. 对健康有益的
fitting	adj. 适当的 n. 配件
attendant	n. 侍者；（要人的）侍从；（病人的）护理人员
snob	n. 势利小人
snobbish	adj. 势利的，谄上欺下的
municipal	adj. 市的，市立的
conform	v. 使遵守；一致
divert	v. 使转向；转移
evaporate	v. 使脱水，发散蒸气
moor	v. 使停泊；使固定
resign	v. 使顺从，使听任于
lubricate	v. 使润滑，加润滑油
subdue	v. 使屈服，征服
insulate	v. 使绝缘，使绝热
mingle	vt. 使混合，混合起来
reconcile	v. 使和好；调停
embarrass	v. 使…陷入困境
decay	v. 使腐朽，使腐烂
baffle	v. 使挫折 n. 迷惑
tangle	v. 使缠结，使纠缠
develop	v. 使（底片）显影
engage	v. 使（齿轮等）啮合
nourishment	n. 食物；营养（情况）
pantry	n. 食品柜，餐具室
graphite	n. 石墨，石墨电极
whitewash	n. 石灰水 v. 粉饰
limestone	n. 石灰石
handout	n. 施舍物，救济品
verse	n. 诗，韵文；诗节
disgrace	n. 失宠，耻辱，丢脸
residual	adj. 剩余的；残余的
excel	v. 胜过，杰出
stiff	adj. 生硬的
hoist	v. 升起，扯起来
censor	v. 审查，检查
shrine	n. 神殿，神龛，圣祠
divine	adj. 神的；敬神的
trench	n. 深沟；壕沟，战壕
editorial	n. 社论，期刊的社论
conceive	v. 设想，以为；怀孕
serpent	n. 蛇（尤指大蛇或毒蛇）
extravagant	adj. 奢侈的；过度的
scorch	v. 烧焦；枯萎
counsel	n. 商议；忠告；律师
tradesman	n. 商人，店主；手艺人
ware	n. 物品；商品，货物
merchandise	n. 商品，货物
goodness	n. 善良，善行，美德
sift	v. 筛，过滤
sardine	n. 沙丁鱼
uproar	n. 骚动，扰乱；喧嚣
prose	n. 散文
stroll	n. 散步，溜达，闲逛
mute	n. 弱音器
commodity	n. 日用品，商品，物品
undertaking	n. 任务，事业；承诺
deem	v. 认为，相信，想
pitch	n. 沥青
personnel	n. 人事部门
thermal	adj. 热的；温热的
concession	n. 让步，迁就
combustion	n. 燃烧
whisker	n. 髯，连鬓胡子
deficient	adj. 缺乏的；欠缺的
deficiency	n. 缺乏；不足
scarcity	n. 缺乏，不足
induce	v. 劝诱；引起
persuasion	n. 劝说，说服
late	adj. 去世不久的
crank	n. 曲柄 v. 用曲柄转动
expel	v. 开除；驱逐；排出
dissipate	v. 驱散；消散；浪费
plea	n. 请愿，请求，恳求
petition	n. 请愿 v. 向…请愿
mistress	n. 情妇，情人
mosque	n. 清真寺
inclination	n. 倾斜，点头；斜坡
rap	n. 轻敲击声 v. 敲击
rash	adj. 轻率的；鲁莽的
industrious	adj. 勤劳的，勤奋的
agreeable	adj. 惬意的；同意的
segment	n. 切片，部分；段，节
slit	v. 切开 n. 狭长的切口
hardy	adj. 强壮的，耐劳的
compulsory	adj. 强迫的，义务的
constraint	n. 限制，束缚，约束
denounce	v. 谴责，声讨；告发
pious	adj. 虔诚的；虔奉宗教的
consistent	adj. 前后一致的，连贯的
predecessor	n. 前辈，前任者
modesty	n. 谦逊；端庄
gracious	adj. 谦和的
pertinent	adj. 恰当的；有关的
apt	adj. 恰当的；聪明的
utensil	n. 器皿，用具
siren	n. 汽笛，警报器
motorway	n. 汽车道，快车路
hitherto	adv. 迄今，到目前为止
barometer	n. 气压计，睛雨表
pant	v. 气喘
jack	n. 起重器；传动装置
count	n. 起拆理由，罪状
message	n. 启示，要旨，教训
enlighten	v. 启发，开导；启蒙
implore	v. 乞求，恳求，哀求
periodical	n. 期刊，杂志
bushel	n. 蒲式耳（容量单位）
raisin	n. 葡萄干
fracture	n. 破裂；裂痕 v. 破裂
bankrupt	adj. 破产的 v. 使破产
persecute	v. 迫害，残害
incline	n. 坡度
flask	n. 瓶
tack	n. 平头钉 v. 钉住
tranquil	adj. 平静的；稳定的
equilibrium	n. 平衡，均衡；均衡论
commonplace	adj. 平凡的 n. 平常话
bleach	v. 漂白，变白
flake	n. 片，薄片
deflection	n. 偏斜，歪斜；偏差
adjacent	adj. 毗连的；紧接着的
clash	n. 冲突，抵触；碰撞声
collide	v. 碰撞；冲突，抵触
shell	n. 炮弹，猎枪子弹
foam	n. 泡沫塑料；泡沫
bypass	n. 旁通管 v. 绕过
limp	v. 蹒跚，跛行 n. 跛行
stagger	v. 蹒跚，使摇晃
ascend	v. 攀登，登高
dispatch	v. 派遣；调度 n. 急件
faction	n. 派别，宗派，小集团
hover	v. 徘徊；傍徨；翱翔；盘旋
drainage	n. 排水；下水道
reptile	n. 爬行动物
overhear	v. 偶然听到；偷听
coward	adj. 懦怯的，胆小的
radiator	n. 暖气片；散热器
strive	v. 努力，奋斗，力求
distortion	n. 歪曲；畸变
Saturn	n. 土星
wrench	v. 拧，扭伤 n. 拧
wring	v. 拧，挤，扭，榨
nickel	n. 镍；镍币
basin	n. 内海；盆地；流域
tickle	v. 挠，胳肢；逗乐
refugee	n. 难民，流亡者
baron	n. 男爵；贵族；巨商
endurance	n. 耐久力，持久力
pasture	n. 牧场
intent	adj. 目不转睛的，热切的
oyster	n. 牡蛎
destiny	n. 命运，天数
proposition	n. 命题，主题；提议
destine	v. 命定，注定；预定
explicit	adj. 明晰的；直率的
