consistent	adj. 一致的
weave	v. 织布，编织
irony	n. 讽刺
complicated	adj. 复杂的
property	n. 财产
philosophy	n. 哲学
ruin	v. 毁坏
inspire	v. 鼓励
exceptional	adj. 例外的
upgrade	v. 升级
abnormally	adv. 不正常地
accidentally	adv. 偶然地，意外地
frontier	n. 边境
legalize	v. 合法化
certify	v. 保证，证明
profound	adj. 深刻的；博学的
craft	n. 手艺 v. 精巧地制作
guarantee	v. 保证
dolphin	n. 海豚
discourage	v. 阻止；使气馁
fault	n. 过失
robbery	n. 抢劫
calculation	n. 计算
overcharge	v. 多收钱
nap	n. 小睡
milestone	n. 里程碑
unstable	adj. 不稳定的
greedy	adj. 贪婪的
diagnose	v. 诊断
reserved	adj. 保留意见的；矜持的
affection	n. 喜爱
material	n. 材料
conduct	v. 进行，实行
association	n. 联系
fascinate	v. 使着迷
minor	adj. 次要的，小的
injustice	n. 不公正
irrelevant	adj. 无关的
registration	n. 注册，登记
democracy	n. 民主
grateful	adj. 感激的
offense	n. 冒犯
atmosphere	n. 气氛；大气（层）
approach	n. 方法
rival	n. 对手
commitment	n. 承诺
accurate	adj. 精确的
abstract	adj. 抽象的
turtle	n. 海龟
endless	adj. 无限的，没完没了的
temptation	n. 诱惑
duplication	n. 复制品
trick	n. 骗局，诡计
evaluation	n. 评价
abandonment	n. 放弃
extreme	adj. 极端的
outperform	v. 胜过
modernize	v. 现代化
interactive	adj. 〔人与计算机程序、电视系统等〕交互的，互动的；合作的；相互交流的
innovation	n. 创新，革新；新观念；新方法；新发明
vegetarian	n. 素食主义者
notion	n. 想法，观点
tropical	adj. 热带的
character	n. 角色；某物的特色
infectious	adj. 感染的，传染的
permanent	adj. 永久的
kidnap	v. 绑架
dominate	v. 主导，主宰
stabilize	v. 使稳固，使安定
consult	v. 咨询
resume	n. 简历
migrate	v. 移民；迁徙
isolation	n. 隔绝，隔离
conservation	n. 保护
pessimistic	adj. 悲观的
crew	n. 机组人员
mourn	v. 哀悼
shot	n. 照相，照片
virus	n. 病毒
dorm	n. 宿舍
erupt	v. 爆发；喷出
impact	n. 影响
index	n. 指数；标志，指标
claim	v. 声称；索取
embrace	v. 采纳，接受
blouse	n. 女衬衫
deliver	v. 递送；发表演讲
rhythm	n. 节奏
code	n. 代号，密码
ridiculous	adj. 滑稽的，可笑的
glamorous	adj. 有魅力的，迷人的
mall	n. 商场
symptom	n. 症状
species	n. 物种
battle	n. 激战，战役
conflict	n. 冲突
grip	n. 抓住
crush	v. 压碎，压榨
prior	adj. 先前的；优先的
formula	n. 公式
skeptical	adj. 怀疑的
destination	n. 目的地
vocational	adj. 职业的
density	n. 密度
landmark	n. 地标
luxurious	adj. 奢侈的，豪华的
currency	n. 货币
blame	v. 谴责
dismiss	v. 解雇
testify	v. 作证；证明，检验
qualify	v. 使有资格
emphasize	v. 强调
flame	n. 火焰
imitate	v. 模仿
drought	n. 干旱
drummer	n. 鼓手
spot	n. 点；地点，处所 v. 发现
suppress	v. 镇压，压制
artificial	adj. 人造的；虚伪的
athletic	adj. 强壮的；擅长运动的；运动的，运动员的
navigate	v. 航行，驾驶
panic	n. 惊慌
endanger	v. 使……危险
prospect	n. 前景
motel	n. 汽车旅馆
signal	v. 标志
therapy	n. 疗法
diverse	adj. 各种各样的
conserve	v. 保留，保护
adaptation	n. 改编版；适应
resist	v. 抵制
convince	v. 使……相信
burden	n. 负担
unified	adj. 统一的
accommodate	v. 容纳；适应
construction	n. 建筑
election	n. 选举
glory	n. 光荣，荣誉
sew	v. 缝上，缝纫
generous	adj. 慷慨的
phenomenon	n. 现象
assume	v. 假定，认为
suspect	v. 怀疑 n. 嫌疑犯
sample	n. 样本，样品
representative	n. 代表
objective	n. 目标，目的
submit	v. 提交
identify	v. 认出，识别
infect	v. 感染
genius	n. 天才
stereotype	n. 刻板印象，固有印象
clarify	v. 澄清，明确
conversion	n. 转变
resident	n. 居民
aspect	n. 方面
apologize	v. 道歉
institution	n. 机构
welfare	n. 幸福；福利
superficial	adj. 表面的
private	adj. 私人的
conventional	adj. 传统的
wonder	v. 想知道，好奇
frame	v. 制定，拟定〔计划、体制等〕
smuggle	v. 走私
disappear	v. 消失
inhale	v. 吸入
majority	n. 大多数
memorize	v. 熟记
trap	v. 捕捉
clarity	n. 清晰，清楚
interact	v. 互动
refine	v. 提炼；改进，完善
anonymous	adj. 匿名的
commentator	n. 评论员
grocery	n. 杂货店
spread	v. 传播，扩散
recruit	v. 招聘
justified	adj. 正当的
bridge	v. 架桥于…之上；缩小
principle	n. 道德原则；原则
stain	n. 污渍，污点
encourage	v. 鼓励
convincing	adj. 令人信服的
philosopher	n. 哲学家
recipe	n. 食谱；秘诀
adventurer	n. 冒险者
quicken	v. 加快
recommend	v. 推荐
incalculable	adj. 不可估量的，无法计算的
outcome	n. 结果
scaffolding	n. 脚手架
garage	n. 车库
domestic	adj. 国内的
formulate	v. 制定，规划
shed	v. 洒 (热血)
worldwide	adv. 世界范围地，全世界
hijack	v. 劫持
dweller	n. 居住者
view	v. 看待
pronoun	n. 代词
contribution	n. 贡献
undecided	adj. 不确定的
restrict	v. 限制
grasp	v. 理解；抓住
texture	n. 质地
format	n. 形式
indifferent	adj. 冷漠的
prejudice	n. 偏见
assumption	n. 假设
responsibility	n. 责任
duplicate	n. 副本，复制品
ecosystem	n. 生态系统
humorous	adj. 幽默的
orbit	n. 轨道
evolve	v. 进化
portion	n. 部分
cautious	adj. 谨慎的
narrow	v. 变窄，缩小
botanical	adj. 植物学的
regain	v. 重新获得
composition	n. 作文
stress	v. 强调
yield	v. 产生
host	v. 主持
release	v. 释放；发布
gratitude	n. 感激
mobility	n. 流动性；活动性
fake	n. 假货
inflation	n. 通货膨胀
plot	n. 情节
manufacture	v. 生产，制造
criticism	n. 批评
obstacle	n. 阻碍
appreciative	adj. 表示赞赏的，感谢的
invasion	n. 入侵
detect	v. 发现
addict	n. 吸毒上瘾者；对…着迷的人
extinguish	v. 熄灭；使消亡
disadvantage	n. 缺点，不利条件
alien	adj. 陌生的
barely	adv. 几乎不，仅仅
simulate	v. 模拟，模仿
prospective	adj. 预期的；未来的
interaction	n. 相互影响，相互作用；互动
contribute	v. 有助于，促成；捐赠
dishonest	adj. 不诚实的
appeal	n. 请求，呼吁,；上诉
applicant	n. 申请者
intelligent	adj. 聪明的
spacious	adj. 宽敞的
fatal	adj. 致命的
potential	adj. 潜在的 n. 潜力
relieved	adj. 轻松的，缓解的
program	v. 计划，安排
capacity	n. 能力；容量
orient	v. 使确定方向；使适应
shift	v. 转移注意力；转变
liberation	n. 解放
immense	adj. 巨大的
genuine	adj. 真的；由衷的
nominate	v. 提名
distinctive	adj. 与众不同的
mismanagement	n. 管理不当
reckon	v. 认为，评价
mask	n. 面具 v. 掩饰，掩盖
forge	v. 伪造；锻造
identical	adj. 相同的
target	n. 目标 v. 把…作为目标
disconnect	v. 断开
immigrant	n. 移民
unqualified	adj. 不合格的，不胜任的
edit	v. 编校；编辑；剪辑
govern	v. 管理
hesitate	v. 犹豫
capture	v. 逮捕；捕捉
flee	v. 离开
certification	n. 证书
instant	adj. 立即的
criminal	adj. 犯罪的 n. 罪犯
clue	n. 线索
arrogant	adj. 傲慢无礼的
expansion	n. 扩张；扩大
authority	n. 权威；当局
reflective	adj. 反映的，反射的；深思熟虑的
quantity	n. 数量
acutely	adv. 强烈地
isolate	v. 使隔离
vivid	adj. 生动的
collaborate	v. 合作
consultation	n. 商议
eyewitness	n. 目击者
trait	n. 特点
anticipate	v. 期望，预期
numerous	adj. 无数的
combination	n. 组合，结合
slightly	adv. 轻微地
minimal	adj. 最低的，最小限度的
barrier	n. 障碍，阻碍
negotiation	n. 协商
hardship	n. 艰难
badge	n. 标记, 徽章
qualification	n. 资格
recall	v. 回忆起，想起
adopt	v. 采纳
tasteless	adj. 没有味道的
drown	v. 溺水
tragedy	n. 悲剧
grand	adj. 壮丽的，极好的
household	n. 家庭，一家人
trace	v. 追踪
bloom	v. 开花，茂盛
evaluate	v. 评价
melt	v. 融化
ready	adj. 乐意的，愿意的
regarding	prep. 关于
needle	n. 指针；针
dimension	n. 尺寸；维
specialize	v. 专业从事
shrank	v. 收缩(shrink过去式)
check	v. 检查；阻止
privileged	adj. 有特权的
expectation	n. 期望
bias	n. 偏见
lawsuit	n. 诉讼
shrink	v. 缩减，缩小
regulation	n. 规则；管理
alternative	n. 代替品
fabric	n. 布料
distinction	n. 区分
brilliant	adj. 才华横溢的；极好的
redefine	v. 重新定义
arm	v. 装备，武装
intensely	adv. 强烈地
desperate	adj. 绝望的，不顾一切的
sexism	n. 性别歧视
comprehensive	adj. 综合的，全面的
forecast	n. 预报，预测
specification	n. 说明
layout	n. 布局，设计
romantic	adj. 爱情的
insufficient	adj. 不足的
boost	v. 提高
significant	adj. 重要的
fresh	adj. 新颖的，新奇的
instinctively	adv. 本能地
content	adj. 满意的
fatigue	n. 疲惫
awesome	adj. 令人敬畏的,令人赞叹的；极好的
echo	v. 随声附和，发出回声
division	n. 分歧
gender	n. 性别
appropriate	adj. 适当的
subtle	adj. 微妙的
critical	adj. 批评的；关键的
alternatively	adv. 二选一地；非此即彼
lounge	n. 休息室
gesture	n. 姿势，手势
script	n. 脚本，剧本
awkward	adj. 尴尬的；棘手的；笨拙的
automatic	adj. 自动的
thrive	v. 繁荣，兴旺
enrich	v. 丰富，使富裕
chew	v. 咀嚼；深思
vehicle	n. 车辆
hatch	v. 孵化
variation	n. 变化
enormous	adj. 巨大的
scare	n. 恐吓，惊恐
alphabetical	adj. 按字母表顺序的
conclusive	adj. 得出结论的
epidemic	n. 流行病
solid	adj. 坚实的；稳固的
attendant	n. 服务人员
collapse	v. 坍塌，崩塌
alert	adj. 机警的 v. 提醒
restructure	v. 调整，重建
tap	v. 轻敲
wildlife	n. 野生动物
overwhelm	v. 压倒，战胜
motivation	n. 动力，积极性
delicate	adj. 细微的；精细的
remarkable	adj. 显著的，杰出的
slavery	n. 奴隶制度
untreated	adj. 未经处理的
suspicious	adj. 怀疑的
ancient	adj. 古代的
skip	v. 跳过
bride	n. 新娘
unfold	v. 展开
interference	n. 干涉
shareholder	n. 股东
breakthrough	n. 突破性进展
applicable	adj. 可应用的
facilitate	v. 使便利；促进
decline	v. 拒绝
mournful	adj. 悲哀的；令人惋惜的
strategy	n. 策略
boom	n. 繁荣
oblige	v. 迫使
incompatibility	n. 不兼容
commerce	n. 商业
attribute	v. 归因于
cafeteria	n. 自助餐厅
nightmare	n. 噩梦
assemble	v. 收集，组装
coastal	adj. 海滨的
desert	v. 放弃，抛弃
peer	n. 同龄人
sympathetic	adj. 同情的
backup	n. 后补，援助
notably	adv. 显著地，尤其
poetry	n. 诗歌
discriminate	v. 歧视；区别
readjust	v. 重新调整，再调整
slight	adj. 轻微的
tackle	v. 解决，处理
steady	adj. 稳定的
minority	n. 少数，少数民族
discipline	n. 训练，管教
uneven	adj. 不均衡的
crucial	adj. 关键的
athletics	n. 体育运动
enthusiastic	adj. 热情的
trigger	v. 引发，引起
essential	adj. 必须的；本质的
agenda	n. 议程
owe	v. 欠钱
justice	n. 公平
donor	n. 捐赠者
underestimate	v. 低估
flat	adj. 平的 n. 公寓
unexpected	adj. 意想不到的
vitamin	n. 维他命
bacteria	n. 细菌
achieve	v. 达到，实现
existence	n. 存在；生存
sweep	v. 扫除，清除
realm	n. 领域，方面
blueprint	n. 蓝图，设计图
pension	n. 养老金
administration	n. 管理；政府
track	v. 追踪 n. 轨迹，踪迹
paradise	n. 天堂
ethnic	adj. 种族的
accelerate	v. 加速
bitter	adj. 痛苦的
ambition	n. 野心，报复
accountant	n. 会计
pave	v. 铺路
measure	n. 措施
potentially	adv. 潜在地
remove	v. 消除，移除；更新
allergic	adj. 过敏的
available	adj. 可获得的，可利用的
initial	adj. 初步的，最初的
opponent	n. 反对者
modify	v. 改变
signify	v. 表明，象征
accumulate	v. 积累
mining	n. 采矿业
violent	adj. 暴力的
dynamics	n. 动力学
chaos	n. 混乱
persistent	adj. 持续的；坚持不懈的
ritual	n. 仪式
criteria	n. 标准
impose	v. 强加于
untiring	adj. 不知疲倦的
contrary	adj. 相反的
nutritious	adj. 有营养的
anxiety	n. 焦虑
rewarding	adj. 有意义的
straightforward	adj. 直接的
descent	n. 血统, 后裔
stuff	n. 材料，东西
reflect	v. 反映；反射；思考
decode	v. 解码
flaw	n. 缺点，瑕疵
reveal	v. 揭露
tutor	v. 辅导
acquaintance	n. 熟人
distribution	n. 分布，分配
trend	n. 趋势
arouse	v. 唤起
suburban	adj. 郊区的
pursue	v. 追求
seasick	adj. 晕船的
lack	v. 缺少
exaggerate	v. 夸张
utilization	n. 利用
twist	v. 扭曲
expedition	n. 探险，远征
switch	v. 转换
sponsor	v. 赞助 n. 赞助商
ongoing	adj. 持续的，不间断的
refreshing	adj. 新鲜的
imprison	v. 监禁
present	v. 呈现，给予
slim	adj. 苗条的
urban	adj. 城市的，都市的
rank	v. 排列；分级
untrustworthy	adj. 不值得信任的，怀疑的
Automatically	adv. 自动地；不经思考地
collaborative	adj. 合作的
practice	n. 做法
victim	n. 受害者
urge	v. 催促
foundation	n. 基金会
elite	n. 精英
suicide	n. 自杀
incompetent	adj. 无能力的，不胜任的
recyclable	adj. 可回收利用的
visualize	v. 想象
slack	adj. 疲软的，萧条的
rigid	adj. 严格的
organic	adj. 有机的
precision	n. 精确性
standardize	v. 标准化
promotion	n. 促销
paralyze	v. 瘫痪，麻痹
flavor	n. 口味
adventure	n. 冒险
mount	v. 增加
oppose	v. 反对
justifiable	adj. 理所应当的
promote	v. 促进
renewable	adj. 可再生的
hypothesis	n. 假设，假说
presentation	n. 展示；讲话
immersive	adj. 沉浸的，身临其境的
domain	n. 领域
urgent	adj. 急迫的
threaten	v. 威胁
jail	n. 监狱
assessment	n. 评估，评价
frustrate	v. 使挫败，使沮丧
detective	n. 侦探
skyscraper	n. 摩天大楼
intolerant	adj. 无法容忍的
pierce	v. 刺穿
gap	n. 差距
worship	v. 崇拜，喜爱
gallery	n. 美术馆
coach	n. 教练
cancel	v. 取消
strike	n. 罢工
distract	v. 分心，分散注意
geology	n. 地质学
costume	n. 服装
manual	adj. 手工的；体力的
quantifiable	adj. 可量化的
breed	v. 繁殖；导致
emerge	v. 出现
position	v. 安放 n. 位置；职位
extinction	n. 灭绝
receptionist	n. 接待员
abuse	n. 虐待 v. 滥用
accuse	v. 指控
biochemistry	n. 生物化学
optimism	n. 乐观
predict	v. 预测
notoriously	adv. 臭名昭著地
board	n. 董事会
pose	v. 形成
memorandum	n. 备忘录
puzzling	adj. 迷惑的，困扰的
reliable	adj. 可靠的
replacement	n. 代替
impart	v. 传授，教授
diversity	n. 多样性
occupation	n. 职业
intense	adj. 激烈的，强烈的
dramatically	adv. 大幅度地；戏剧性地
awareness	n. 意识
maturity	n. 成熟
rare	adj. 罕见的，稀少的
favor	v. 恩惠；善意的行为
productivity	n. 生产力
mechanism	n. 机制
helicopter	n. 直升飞机
relevant	adj. 相关的
miracle	n. 奇迹
poll	n. 民意测验
worldly	adj. 世间的，尘世的
campaign	n. 活动
odds	n. 可能性
shepherd	v. 引导，带领
schedule	n. 计划表
access	v. 取得，获取
owl	n. 猫头鹰
interpret	v. 口译；解释
determine	v. 决定
literal	adj. 字面的
proposition	n. 提议，主题
destructive	adj. 破坏性的，毁灭性的
denationalize	v. 使非国有化
resort	n. 度假胜地
engage	v. 忙于，从事；雇佣
approximately	adv. 大约
cover	v. 遮盖，遮蔽
widespread	adj. 广泛传播的
unethical	adj. 不道德的
withdraw	v. 撤销，撤退
relay	v. 接替，转播
fluently	adv. 流利地
mysteriously	adv. 神秘地
session	n. 会议；学年
prioritize	v. 优先
quote	v. 引用
generate	v. 产生
invasive	adj. 入侵的
ignore	v. 忽视
specific	adj. 具体的
elegant	adj. 高雅的，雅致的
indicate	v. 表明
procedure	n. 程序
unrealistic	adj. 不现实的
occur	v. 发生
frankly	adv. 坦率地
thrilling	adj. 令人兴奋的
marine	adj. 海洋的
interracial	adj. 种族间的
deserve	v. 值得
particle	n. 粒子，微粒
category	n. 种类
hack	v. 黑客攻击
matter	v. 重要；要紧
biodiversity	n. 生物多样性
bother	v. 困扰
genetic	adj. 基因的
defect	n. 缺点
retailer	n. 零售商
chain	n. 连锁店
executive	n. 执行官
ballet	n. 芭蕾
propose	v. 提出
coverage	n. 报道
previous	adj. 之前的
puzzle	v. 迷惑
illustrate	v. 阐明，说明
defensive	adj. 防守的，防御的
perspective	n. 视角，观点
migration	n. 迁徙，移居
float	v. 漂浮
flexible	adj. 灵活的
capable	adj. 有能力的
practical	adj. 实践的；实用的
territory	n. 领域，领土
urbanization	n. 城市化
privilege	n. 特权
widen	v. 拓宽，变宽
virtual	adj. 虚拟的；事实上的
boast	v. 自夸
infant	n. 婴儿
activate	v. 激活
accomplish	v. 实现
immigration	n. 移民
approve	v. 赞同
pessimist	n. 悲观主义者
aggressive	adj. 挑衅的
toxic	adj. 有毒的
tension	n. 紧张
specialist	n. 专家
encounter	v. 遭遇
reap	v. 收割，收获
institute	n. 研究所，学会，学院
maintenance	n. 维修
legend	n. 传奇
stimulate	v. 刺激；激励
tough	adj. 困难的，粗暴的
vital	adj. 重要的
ankle	n. 脚踝
fade	v. 褪色
pursuit	n. 追求
lobbyist	n. 游说者
lessen	v. 减少
handgun	n. 手枪
influential	adj. 有影响力的
biography	n. 传记
fearlessly	adv. 无畏地，大胆地
randomly	adv. 随机地
discrimination	n. 歧视
exceed	v. 超过
address	v. 解决
trade	v. 做买卖；交换
deal	v. 买卖毒品
hike	v. 作长途徒步旅行
action	n. 行动
consequent	adj. 作为结果的；必然的
composer	n. 作曲家
slave	v. 作苦工；奴役
value	v. 尊重，重视；估价
dignity	n. 庄重；尊严；体面
initially	adv. 最初，开始
makeup	n. 化妆品；性格；构造；组成
composition	n. 组成，构成，结构
block	n. 阻塞；障碍物
damn	v. 谴责
suffice	v. 足够
headquarters	n. 总部
executive	n. （机构或公司的）主管，经理
main	n. 总管道，干线
overall	adj. 总的
ultraviolet	adj. 紫外（线）的
datum	n. 资料；数据；已知数
qualification	n. 资格；学历
crash	v. （发出巨响的） 猛撞
way	n. （特定的）状态，状况
superb	adj. 壮丽的；超等的
decorative	adj. 装饰的；可作装饰的
shipment	n. 装载的货物；装货
can	v. 装罐头
array	v. （美观地）排列 n. 陈列
convert	v. 转变，改变，变换
transition	n. 转变，变迁；过渡
torque	n. 转（力）矩，扭（力）矩
workshop	n. 专题讨论会
patent	adj. 专利的 n. 专利
nest	v. 筑巢，为…筑巢
coin	v. 铸造（硬币）
noted	adj. 著名的，知名的
inject	v. 注射；注满；喷射
storage	n. 贮藏；保管
position	n. 形势；主张，立场
eject	v. 逐出，排斥；喷射
bamboo	n. 竹；竹杆，竹棍
jewellery	n. 珠宝，珠宝饰物
wrinkle	n. 皱纹 vt. 使起皱纹
axial	adj. 轴的；轴向的
axis	n. 轴，轴线
periodic	adj. 周期的；一定时期的
anniversary	n. 周年纪念日
anybody	n. 重要人物
responsible	adj. 可靠的；责任重大的
consequence	n. 重要（性），重大意义
category	n. 种类，类目；范畴
species	n. 种，物种；种类
volunteer	n. 志愿者 v. 志愿
instructor	n. 指导者，教员
vocation	n. 职业，行业
notable	adj. 值得注意的；著名的
weaver	n. 织布工，编织者
check	n. 支票；帐单
bearing	n. 方位；（机器的）承座；轴承；忍受
symptom	n. 症状；征兆，征候
regime	n. 政权，政体；制度
politics	n. 政纲，政见，策略
confirmation	n. 证实，确定；确认
testify	v. 作证；证明，证实
correctly	adv. 正确地，恰当地
positive	adj. 正的，阳性的；正的，正极的，阳性的；正的，正数的
normalization	n. 正常化，标准化
sign	n. 征兆，迹象，病症
suppress	v. 镇压；抑制；禁止发表；封锁；查禁
gust	n. 阵风，一阵狂风
clinic	n. 诊所，医务室；会诊；会诊时间；门诊时间
diagnose	v. 诊断（疾病）
cherish	v. 珍爱；怀有（感情）
detective	n. 侦探，警探；私人侦探，私家侦探
grind	v. 磨碎，碾碎，把...磨成粉
discount	n. 折扣 v. 打折扣卖
literally	adv. 照字义，逐字地
summon	v. 召唤；鼓起（勇气）
entertainment	n. 招待，招待会
sofa	n. 长沙发，沙发
warfare	n. 战争，战争状态
battle	v. 战斗，与…作战
unfold	v. 展开；展现，呈现
album	n. （收存照片或邮票的） 册子
glue	v. 粘牢
wink	v. 眨眼；使眼色
further	v. 增进
multiplication	n. 乘法；增加
mint	n. 造币厂；巨额钱财
hollow	v. 凿空，挖空
glorify	v. 赞美；颂扬（上帝）
overseas	adv. 在海外，（向）国外
outside	prep. 在…外，向…外
brand	v. 在…上打烙印
alongside	prep. 在…旁边
over	prep. 在（做）…时
reproduction	n. 再生（产）；繁殖
specification	n. 规格；明确说明，详述
disastrous	adj. 灾难性的；悲惨的
operation	n. 运算
lunar	adj. 月亮的
prototype	n. 原型；典型，范例
subscription	n. 订阅（费）；用户费（的缴纳）
prediction	n. 预言，预告；预报
preset	v. 预先装置
budget	n. 预算；〔政府的〕
foresee	v. 预见，预知，看穿
prevention	n. 预防，阻止，妨碍
intonation	n. 语调，声调；发声
cosmic	adj. 宇宙的；广大无边的，极大的
cosmos	n. 宇宙
excuse	v. 为…辩解；使免除
amusement	n. 乐趣；娱乐，消遣
kidnap	v. 诱拐，绑架
guilt	n. 内疚；有罪，犯罪
shadowy	adj. 有影的；幽暗的
ambitious	adj. 有雄心的；热望的
significant	adj. 重要的，重大的，影响深远的
magnet	n. 有吸引力的人（或物）
profitable	adj. 有利的；有益的
advantageous	adj. 有利的，有助的
commonsense	adj. 有常识的
conservative	adj. 保守的，守旧的
tanker	n. 油船；空中加油飞机
postal	adj. 邮政的，邮局的
superiority	n. 优越（性），优势
paper	v. 贴壁纸
net	v. 用网捕；用网覆盖
head	v. 用头顶（球）；朝...行进
hook	v. （使）钩住，挂住
formulate	v. 规划；制定；准备
sniff	v. 用鼻子吸，嗅
courageous	adj. 勇敢的，无畏的
eternal	adj. 永久的；不朽的
bound	adj. 应当的；必定的
cater	v. 迎合，投合
press	n. 出版社；印刷所；印刷机
printer	n. 印刷工；印花工
diet	n. 日常饮食，日常食物
tempt	v. 引诱，诱惑，劝诱
cite	v. 引证；引用；〔法院〕传召，传讯
ignite	v. 引燃，着火
banker	n. 银行家
through	prep. 因为，由于
consciousness	n. 意识；知觉
observation	n. 意见，短评，按语
refrain	v. 抑制，制止，忍住
restrain	v. 制止；抑制
house	n. 议院，会议厅
obligation	n. 义务，职责，责任
formerly	adv. 以前，从前
desert	v. 遗弃；擅离（职守）
transmission	n. 传播，传染
displace	v. 移置；取代；置换
displacement	n. 移置；免职；置换
instrumental	adj. 器乐的；有帮助的
wardrobe	n. 衣柜，衣橱，藏衣室
evenly	adv. 一致地；平静地
compatible	adj. 兼容的
troop	n. 一群，一队，大量
chop	n. 一块排骨，肉块
baby	n. 一家中年龄最小的人
episode	n. （人生的）一段经历；（小说的）片段，插曲
amateur	adj. 业余的 n. 业余爱好者
Jesus	n. 耶稣
oxide	n. 氧化物
oxidize	v. 氧化，使生锈
domestic	adj. 家养的
balcony	n. 阳台；楼厅，楼座
scope	n. （学科、活动、书籍等的）范围；（发挥能力的）机会，施展余地；眼界
sharply	adv. 严厉地，苛刻地
pickle	n. 腌制食品，泡菜
dentist	n. 牙科医生
deposit	n. 押金
squeeze	v. 压榨；榨取
compression	n. 压缩，压紧，浓缩
overwhelming	adj. 压倒的，势不可挡的
overwhelm	v. 使（某人）感到不能自持，使不知所措；压倒，击败
velocity	n. 迅速，快速
circulation	n. 血液循环；（资料、货币等）流通
cruise	v. 巡航，巡航于…
quest	v. 寻找，追求
cigar	n. 雪茄烟，叶卷烟
scholarship	n. 奖学金；学问，学识
gorgeous	adj. 极其漂亮的，极其吸引人的；绚丽的，华丽的
option	n. 选择，取舍
cock	n. 公鸡
melody	n. 旋律，曲调；歌曲
declaration	n. 宣布，宣言
narration	n. 叙述；故事；叙述法
sequence	n. 序列，顺序
wind	n. 风
pacific	adj. 性情温和的
survival	n. 幸存；残存；幸存者
formal	adj. 正规的；庄重的
religion	n. 宗教
bridegroom	n. 新郎
zinc	n. 锌 v. 在…上镀锌
appreciation	n. 欣赏；感激
psychology	n. 心理学；心理
crab	n. 蟹；蟹肉 v. 捕蟹
jean	n. 斜纹布；牛仔裤
vicious	adj. 邪恶的；恶性的
evil	n. 邪恶，罪恶；祸害
collaborate	v. 协作，合作；协调
team	v. 协作，合作
paragraph	n. （文章的）段，段落
cautious	adj. 小心的，谨慎的
caution	n. 小心 v. 告诫，警告
suitcase	n. 手提箱，衣箱
footpath	n. 小路，人行道
puppy	n. 小狗；幼小的动物
closet	n. 小房间；壁碗橱
disappearance	n. 消失，消散；失踪
consumer	n. 消费者，用户
consumption	n. 消费（量）
depression	n. 消沉；不景气萧条期
token	n. 辅币；象征
forward	adv. 向前；向将来 v. 转递
orientation	n. 定位；方向
defy	v. 向…挑战；蔑视
spice	n. 香料，调味品
fragrant	adj. 香的，芬芳的
interact	v. 相互作用
coincide	v. 相巧合；相符合
devotion	n. 献身，热诚，专心
linear	adj. 线的；长度的
realistic	adj. 现实的；现实主义的
striking	adj. 显著的，惊人的
microscopic	adj. 显微镜的；微观的，极小的
apparent	adj. 显然的
distinctly	adv. 显然，清楚地
bacon	n. 咸猪肉，熏猪肉
ramble	v. 闲逛，漫步；漫谈，闲聊
priority	n. 先，前；优先，重点
decline	v. 下倾；偏斜；衰退
descent	n. 下降；出身；斜坡
slim	adj. 细长的；微小的
petty	adj. 细小的；器量小的
nice	adj. 细微的，微妙的
bacterium	n. 细菌
germ	n. 细菌，病原菌；幼芽
